GEOID,nodes
27155,399
34029,35929
44001,5017
39073,9782
17071,2433
42093,1217
49039,1355
05135,286
12085,16134
40045,46
39027,3997
35009,1365
51595,0
31025,2465
38091,0
13225,570
36095,2905
21035,2023
31181,0
35041,1977
05079,125
09015,31751
13285,821
55073,24953
17111,30390
41067,165512
17013,2108
17125,908
17179,32628
45033,194
46027,1165
41057,1742
46013,2526
31119,1912
29109,80
55039,18571
47139,1547
40127,450
13065,0
31141,392
29149,104
20039,16
55125,8178
55097,25925
13059,55335
19107,66
18173,2801
06031,2743
48505,79
06075,76516
04011,1422
29127,4908
08119,2161
53057,51319
20173,32827
29167,1160
29137,102
36015,1558
08101,14248
39093,57245
01093,454
13097,7056
56041,876
31149,188
51820,1180
17115,14041
28095,293
39143,2539
13147,495
28147,0
05035,14425
27111,4442
28009,127
13273,4
28065,481
18109,1845
19051,53
48257,3076
13167,116
17085,4609
28161,257
28043,923
05033,10470
18103,7529
05101,6115
35025,12879
13295,4969
21227,8021
21219,226
01039,1387
17171,5
38073,1403
16071,1026
31139,1007
51530,325
08075,203
28075,524
38079,718
55123,2515
18013,7851
19001,235
13275,1737
28035,3773
47043,4966
26095,2000
18041,73
48259,6634
46011,2777
18119,2887
51079,1962
47015,154
20013,430
13257,839
39039,947
46045,26
01011,310
55059,13703
20065,0
27051,596
20021,313
28011,2261
20051,2887
01015,3281
08025,49
20193,31
49041,7492
17167,104853
27057,6382
19079,461
48113,155199
51678,1648
12043,442
13119,1227
40085,30
50005,5219
41029,21143
26101,6277
51065,1532
01075,178
45023,598
36049,3248
33019,6654
50021,27600
29179,43
46115,15
19081,170
55117,5754
48235,0
28019,229
30019,30
35005,3257
35043,24007
28023,249
39131,4377
27035,15113
27095,862
48243,358
46033,2618
27143,1418
36023,540
39051,3178
53051,1659
26011,167
19031,545
08003,6792
39163,3923
55137,1659
42083,6423
19009,948
27005,9443
37005,905
39085,30070
42011,43758
31165,384
18003,114428
47115,3003
19169,40009
48163,24
27141,23829
39097,2411
13087,442
46079,827
29135,1476
19057,2927
55083,3041
40099,3245
47027,211
05043,522
31029,0
35047,2534
39165,55768
34017,112055
54029,1457
18015,904
20201,22
48131,62
47109,150
47087,64
13101,0
39119,11088
16019,12749
17069,1736
29129,184
20147,113
39115,2427
21129,1644
22047,16907
18081,34497
09013,43075
21073,7167
29145,1116
26113,464
17051,584
01105,1286
27041,4021
26123,7586
39077,869
05059,2734
46119,0
31147,246
12067,494
28067,1239
21163,2848
20121,1113
39017,38684
29177,733
05141,183
21103,109
18153,355
21117,27627
19065,2801
48425,408
26067,2355
47171,320
28041,24
40017,2727
12063,4222
08097,7258
54079,4457
17121,6969
48011,13
37061,277
47023,1190
21171,78
26035,2219
47113,2734
13253,301
39003,14744
19145,637
30103,894
56037,1360
19059,1617
28125,4
40103,1968
16053,2792
51775,1748
56001,5762
48179,324
13243,367
18115,445
17081,637
51570,3271
27071,3765
12015,21865
31035,200
38013,418
54055,2632
12059,2171
29025,0
21201,132
18181,1858
31143,221
29163,669
13085,3343
36073,1220
55078,191
30065,29
48433,80
13197,0
48151,0
08047,2345
18057,188755
51580,155
35015,7634
48463,1239
29017,115
49031,558
28005,0
16045,185
35057,1503
48299,1319
29203,281
39105,265
28015,746
37187,414
21075,312
17117,497
35035,3183
41011,3489
29035,6
17075,1361
17067,1112
46089,4
46043,0
18121,1714
01053,116
48487,277
51830,6742
19123,1560
29093,35
13109,7
46097,0
30111,22286
29213,6469
51169,1020
55047,1207
17157,639
29065,537
20197,2323
06067,184488
19005,444
26085,3199
18177,8616
31063,0
05127,132
34015,33896
20157,102
31087,8
06035,5748
05105,3275
29119,672
28107,1012
27025,4571
20181,13
05051,6748
19133,886
39109,10036
16067,566
